name,lat,lon,notes
"Oskaloosa, Iowa",41.29189017876533, -92.64886030825596,"This is a good location fairly close that has served as a common launching point for good storms"
"Nebraska Crossing, NE",41.10266246333573, -96.2607862039612,"Good location to split between Lincoln or North"
"Salina, KS",38.831425201879924, -97.74091706492601,"East Central Kansas Location Base"
"St. Joseph, MO",39.77176241677345, -94.84415374403484,"Location for west into Kansas or East into Missouri"
"Albert Lea, MN",43.6479324126213, -93.36717921344942,"Great southern Minnesota base"
